desired k,max years,resulting k,subset indices and weights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5000,30,9,11,37,49,50,75,86,95,97,100,101,104,106,107,108,109,116,118,141,239,256,338,409,684,945,1206,1407,1483,1485,1542
,,,0.002781962,0.000296422,0.001697785,0.000283978,0.000923607,0.000993328,0.00035293,0.000376671,0.000643798,0.001085662,0.000401691,0.000148469,0.000191961,0.000686254,0.00021643,0.000259876,0.000235408,0.001601282,0.002008031,0.000284969,0.000417486,0.001594395,0.000882384,0.000309656,0.000545063,0.000235408,0.000901195,0.000235408,0.000834004,0.000755141
